mt-m0 (GeV)    dN/mtdmt       error          
0.702          0              6.95603e-06    
0.706          0              5.67957e-06    
0.71           0              5.67957e-06    
0.714          3.17339e-06    4.01606e-06    
0.718          0              4.01606e-06    
0.722          3.16696e-06    0              
0.726          6.32751e-06    4.01606e-06    
0.73           3.16056e-06    4.01606e-06    
0.734          3.15736e-06    6.95603e-06    
0.738          6.30835e-06    6.95603e-06    
0.742          3.151e-06      4.01606e-06    
0.746          0              0              
0.75           0              5.67957e-06    
0.754          0              0              
0.758          6.27668e-06    0              
0.762          0              5.67957e-06    
0.766          0              5.67957e-06    
0.77           0              0              
0.774          0              4.01606e-06    
0.778          6.24532e-06    4.01606e-06    
0.782          0              6.95603e-06    
0.786          6.23286e-06    5.67957e-06    
0.79           0              4.01606e-06    
0.794          0              0              
0.798          0              4.01606e-06    
0.802          3.10405e-06    0              
0.806          3.10097e-06    4.01606e-06    
0.81           0              0              
0.814          3.09483e-06    4.01606e-06    
0.818          6.18353e-06    4.01606e-06    
0.822          3.08871e-06    0              
0.826          3.08566e-06    6.95603e-06    
0.83           3.08261e-06    0              
0.834          0              0              
0.838          0              0              
0.842          3.07352e-06    4.01606e-06    
0.846          0              4.01606e-06    
0.85           0              0              
0.854          0              0              
0.858          0              0              
0.862          3.05848e-06    4.01606e-06    
0.866          0              4.01606e-06    
0.87           0              0              
0.874          3.04952e-06    0              
0.878          0              0              
0.882          3.04358e-06    0              
0.886          0              0              
0.89           0              4.01606e-06    
0.894          6.06943e-06    5.67957e-06    
0.898          0              4.01606e-06    
0.902          3.02883e-06    0              
0.906          0              4.01606e-06    
0.91           0              4.01606e-06    
0.914          0              4.01606e-06    
0.918          0              0              
0.922          0              0              
0.926          0              0              
0.93           0              4.01606e-06    
0.934          3.00553e-06    0              
0.938          3.00264e-06    0              
0.942          0              0              
0.946          0              0              
0.95           0              4.01606e-06    
0.954          0              0              
0.958          0              0              
0.962          0              5.67957e-06    
0.966          2.98258e-06    4.01606e-06    
0.97           0              4.01606e-06    
0.974          0              4.01606e-06    
0.978          0              4.01606e-06    
0.982          2.97124e-06    5.67957e-06    
0.986          0              0              
0.99           0              5.67957e-06    
0.994          0              4.01606e-06    
0.998          0              4.01606e-06    
1.002          0              0              
1.006          0              0              
1.01           0              5.67957e-06    
1.014          0              4.01606e-06    
1.018          0              0              
1.022          0              0              
1.026          2.94048e-06    0              
1.03           0              0              
1.034          2.93496e-06    4.01606e-06    
1.038          2.93221e-06    4.01606e-06    
1.042          0              0              
1.046          2.92672e-06    5.67957e-06    
1.05           0              4.01606e-06    
1.054          0              0              
1.058          0              4.01606e-06    
1.062          2.91579e-06    0              
1.066          2.91307e-06    4.01606e-06    
1.07           0              0              
1.074          2.90765e-06    4.01606e-06    
1.078          0              0              
1.082          0              0              
1.086          0              0              
1.09           0              0              
1.094          0              0              
1.098          0              0              
1.102          0              5.67957e-06    
1.106          2.88617e-06    0              
1.11           0              0              
1.114          0              0              
1.118          0              0              
1.122          0              0              
1.126          0              0              
1.13           0              4.01606e-06    
1.134          0              0              
1.138          0              0              
1.142          0              0              
1.146          0              0              
1.15           2.85714e-06    4.01606e-06    
1.154          0              0              
1.158          0              0              
1.162          0              0              
1.166          0              4.01606e-06    
1.17           0              0              
1.174          5.68311e-06    0              
1.178          0              0              
1.182          2.8364e-06     0              
1.186          0              4.01606e-06    
1.19           0              4.01606e-06    
1.194          0              0              
1.198          2.82614e-06    0              
1.202          2.82358e-06    0              
1.206          0              0              
1.21           2.81849e-06    0              
1.214          0              0              
1.218          0              0              
1.222          5.62177e-06    0              
1.226          0              0              
1.23           2.80584e-06    4.01606e-06    
1.234          2.80332e-06    0              
1.238          0              0              
1.242          0              0              
1.246          2.7958e-06     0              
1.25           0              0              
1.254          2.7908e-06     0              
1.258          0              0              
1.262          0              0              
1.266          0              0              
1.27           0              4.01606e-06    
1.274          0              0              
1.278          5.55185e-06    0              
1.282          2.77346e-06    0              
1.286          0              0              
1.29           0              0              
1.294          0              0              
1.298          0              0              
1.302          0              0              
1.306          0              4.01606e-06    
1.31           0              0              
1.314          0              0              
1.318          0              0              
1.322          0              4.01606e-06    
1.326          2.74665e-06    0              
1.33           0              4.01606e-06    
1.334          0              0              
1.338          0              0              
1.342          2.73703e-06    0              
1.346          0              0              
1.35           0              0              
1.354          0              0              
1.358          5.45494e-06    0              
1.362          0              0              
1.366          0              0              
1.37           2.72035e-06    0              
1.374          0              0              
1.378          0              0              
1.382          2.71326e-06    0              
1.386          0              0              
1.39           0              0              
1.394          0              0              
1.398          2.70387e-06    0              
1.402          0              0              
1.406          0              0              
1.41           0              0              
1.414          0              0              
1.418          2.69222e-06    0              
1.422          0              0              
1.426          0              0              
1.43           0              0              
1.434          0              0              
1.438          0              0              
1.442          0              0              
1.446          0              0              
1.45           0              0              
1.454          0              0              
1.458          0              0              
1.462          0              0              
1.466          0              0              
1.47           0              0              
1.474          0              0              
1.478          0              0              
1.482          2.65562e-06    0              
1.486          2.65336e-06    0              
1.49           0              0              
1.494          0              0              
1.498          0              0              
1.502          0              0              
1.506          0              0              
1.51           0              0              
1.514          0              0              
1.518          0              0              
1.522          0              0              
1.526          0              0              
1.53           0              0              
1.534          0              0              
1.538          0              0              
1.542          2.62219e-06    0              
1.546          0              0              
1.55           0              0              
1.554          0              0              
1.558          0              0              
1.562          0              0              
1.566          0              0              
1.57           0              0              
1.574          0              0              
1.578          0              0              
1.582          0              0              
1.586          0              0              
1.59           2.59605e-06    0              
1.594          0              0              
1.598          0              0              
1.602          0              0              
1.606          0              0              
1.61           0              0              
1.614          0              0              
1.618          0              0              
1.622          0              0              
1.626          2.57679e-06    0              
1.63           0              0              
1.634          0              0              
1.638          0              0              
1.642          0              0              
1.646          0              0              
1.65           0              0              
1.654          0              0              
1.658          0              0              
1.662          0              0              
1.666          0              0              
1.67           0              0              
1.674          2.55154e-06    0              
1.678          0              0              
1.682          0              0              
1.686          2.54531e-06    0              
1.69           0              0              
1.694          0              0              
1.698          0              0              
1.702          0              0              
1.706          0              0              
1.71           0              0              
1.714          0              0              
1.718          0              0              
1.722          0              0              
1.726          0              0              
1.73           0              0              
1.734          0              0              
1.738          0              0              
1.742          0              0              
1.746          0              0              
1.75           0              0              
1.754          0              0              
1.758          0              0              
1.762          0              0              
1.766          0              0              
1.77           0              0              
1.774          0              0              
1.778          2.4985e-06     0              
1.782          0              0              
1.786          0              0              
1.79           0              0              
1.794          0              0              
1.798          0              0              
1.802          0              0              
1.806          0              0              
1.81           0              0              
1.814          0              0              
1.818          0              4.01606e-06    
1.822          0              0              
1.826          0              0              
1.83           0              0              
1.834          0              0              
1.838          0              0              
1.842          0              0              
1.846          0              0              
1.85           0              0              
1.854          0              0              
1.858          0              0              
1.862          0              0              
1.866          0              0              
1.87           0              0              
1.874          2.45146e-06    0              
1.878          0              0              
1.882          0              0              
1.886          0              0              
1.89           0              0              
1.894          0              0              
1.898          0              0              
1.902          0              0              
1.906          0              0              
1.91           0              0              
1.914          0              0              
1.918          0              0              
1.922          0              0              
1.926          0              0              
1.93           0              0              
1.934          0              0              
1.938          0              0              
1.942          0              0              
1.946          0              0              
1.95           0              0              
1.954          0              0              
1.958          0              0              
1.962          0              0              
1.966          2.40801e-06    0              
1.97           0              0              
1.974          0              0              
1.978          0              0              
1.982          0              0              
1.986          0              0              
1.99           0              0              
1.994          0              0              
1.998          0              0              
