y              pT (GeV/c)     d2N/dpTdy      error          
0.225          0.925          0              0              
0.225          0.975          0              0              
0.225          1.025          0              0              
0.225          1.075          0              0              
0.225          1.125          0              0              
0.225          1.175          0              0              
0.225          1.225          6.66667e-06    6.66667e-06    
0.225          1.275          0              0              
0.225          1.325          0              0              
0.225          1.375          0              0              
0.225          1.425          0              0              
0.225          1.475          0              0              
0.225          1.525          0              0              
0.225          1.575          0              0              
0.225          1.625          0              0              
0.225          1.675          0              0              
0.225          1.725          6.66667e-06    6.66667e-06    
0.225          1.775          0              0              
0.225          1.825          0              0              
0.225          1.875          0              0              
0.225          1.925          0              0              
0.225          1.975          0              0              
0.375          0.025          0              0              
0.375          0.075          0              0              
0.375          0.125          0              0              
0.375          0.175          0              0              
0.375          0.225          0              0              
0.375          0.275          0              0              
0.375          0.325          0              0              
0.375          0.375          0              0              
0.375          0.425          0              0              
0.375          0.475          0              0              
0.375          0.525          0              0              
0.375          0.575          0              0              
0.375          0.625          0              0              
0.375          0.675          0              0              
0.375          0.725          0              0              
0.375          0.775          0              0              
0.375          0.825          0              0              
0.375          0.875          0              0              
0.375          0.925          0              0              
0.375          0.975          0              0              
0.375          1.025          6.66667e-06    6.66667e-06    
0.375          1.075          0              0              
0.375          1.125          0              0              
0.375          1.175          0              0              
0.375          1.225          6.66667e-06    6.66667e-06    
0.375          1.275          0              0              
0.375          1.325          0              0              
0.375          1.375          0              0              
0.375          1.425          0              0              
0.375          1.475          6.66667e-06    6.66667e-06    
0.375          1.525          6.66667e-06    6.66667e-06    
0.375          1.575          0              0              
0.375          1.625          0              0              
0.375          1.675          6.66667e-06    6.66667e-06    
0.375          1.725          0              0              
0.375          1.775          0              0              
0.375          1.825          0              0              
0.375          1.875          0              0              
0.375          1.925          6.66667e-06    6.66667e-06    
0.375          1.975          0              0              
0.525          0.025          0              0              
0.525          0.075          0              0              
0.525          0.125          0              0              
0.525          0.175          0              0              
0.525          0.225          0              0              
0.525          0.275          0              0              
0.525          0.325          0              0              
0.525          0.375          0              0              
0.525          0.425          0              0              
0.525          0.475          0              0              
0.525          0.525          0              0              
0.525          0.575          0              0              
0.525          0.625          0              0              
0.525          0.675          0              0              
0.525          0.725          0              0              
0.525          0.775          0              0              
0.525          0.825          0              0              
0.525          0.875          0              0              
0.525          0.925          0              0              
0.525          0.975          6.66667e-06    6.66667e-06    
0.525          1.025          0              0              
0.525          1.075          0              0              
0.525          1.125          0              0              
0.525          1.175          0              0              
0.525          1.225          0              0              
0.525          1.275          0              0              
0.525          1.325          0              0              
0.525          1.375          0              0              
0.525          1.425          0              0              
0.525          1.475          0              0              
0.525          1.525          0              0              
0.525          1.575          0              0              
0.525          1.625          0              0              
0.525          1.675          0              0              
0.525          1.725          0              0              
0.525          1.775          0              0              
0.525          1.825          0              0              
0.525          1.875          0              0              
0.525          1.925          6.66667e-06    6.66667e-06    
0.525          1.975          0              0              
0.675          0.025          0              0              
0.675          0.075          0              0              
0.675          0.125          0              0              
0.675          0.175          0              0              
0.675          0.225          0              0              
