mt-m0 (GeV)    dN/mtdmt       error          
1.366          0              0              
1.37           0              0              
1.374          0              0              
1.378          0              0              
1.382          2.71326e-06    0              
1.386          2.71091e-06    0              
1.39           0              0              
1.394          0              0              
1.398          0              0              
1.402          0              0              
1.406          0              0              
1.41           0              0              
1.414          0              0              
1.418          0              0              
1.422          2.68991e-06    0              
1.426          0              0              
1.43           0              0              
1.434          0              0              
1.438          0              0              
1.442          2.67838e-06    0              
1.446          0              0              
1.45           0              4.01606e-06    
1.454          0              0              
1.458          0              0              
1.462          0              0              
1.466          0              0              
1.47           0              0              
1.474          0              0              
1.478          0              0              
1.482          2.65562e-06    0              
1.486          0              0              
1.49           0              0              
1.494          2.64887e-06    0              
1.498          0              0              
1.502          0              0              
1.506          0              0              
1.51           0              0              
1.514          0              0              
1.518          0              0              
1.522          0              0              
1.526          0              0              
1.53           0              0              
1.534          0              0              
1.538          0              0              
1.542          0              0              
1.546          2.62e-06       0              
1.55           0              0              
1.554          0              0              
1.558          0              0              
1.562          0              0              
1.566          0              0              
1.57           0              0              
1.574          0              0              
1.578          0              0              
1.582          0              0              
1.586          0              0              
1.59           0              0              
1.594          0              0              
1.598          2.59175e-06    0              
1.602          0              0              
1.606          2.58746e-06    0              
1.61           0              0              
1.614          0              0              
1.618          0              0              
1.622          2.57891e-06    0              
1.626          0              0              
1.63           2.57467e-06    0              
1.634          0              0              
1.638          0              0              
1.642          0              0              
1.646          0              0              
1.65           0              0              
1.654          0              0              
1.658          0              0              
1.662          0              0              
1.666          0              0              
1.67           0              0              
1.674          0              0              
1.678          0              0              
1.682          0              0              
1.686          0              0              
1.69           0              0              
1.694          0              0              
1.698          0              0              
1.702          0              0              
1.706          0              0              
1.71           0              0              
1.714          0              0              
1.718          0              0              
1.722          0              0              
1.726          0              0              
1.73           0              0              
1.734          0              0              
1.738          0              0              
1.742          0              0              
1.746          0              0              
1.75           0              0              
1.754          0              0              
1.758          0              0              
1.762          0              0              
1.766          0              0              
1.77           0              0              
1.774          0              0              
1.778          0              0              
1.782          0              0              
1.786          0              0              
1.79           0              0              
1.794          0              0              
1.798          0              0              
1.802          0              0              
1.806          0              0              
1.81           0              0              
1.814          0              0              
1.818          0              0              
1.822          0              0              
1.826          0              0              
1.83           0              0              
1.834          0              0              
1.838          0              0              
1.842          0              0              
1.846          0              0              
1.85           0              0              
1.854          0              0              
1.858          0              0              
1.862          0              0              
1.866          0              0              
1.87           0              0              
1.874          0              0              
1.878          0              0              
1.882          0              0              
1.886          0              0              
1.89           0              0              
1.894          0              0              
1.898          0              0              
1.902          0              0              
1.906          0              0              
1.91           0              0              
1.914          0              0              
1.918          0              0              
1.922          0              0              
1.926          0              0              
1.93           0              0              
1.934          0              0              
1.938          0              0              
1.942          0              0              
1.946          0              0              
1.95           0              0              
1.954          0              0              
1.958          0              0              
1.962          0              0              
1.966          0              0              
1.97           0              0              
1.974          0              0              
1.978          0              0              
1.982          0              0              
1.986          0              0              
1.99           0              0              
1.994          0              0              
1.998          0              0              
